k,c,z
2.49443,0.995207,0.843225
2.49373,1.02955,0.971857
2.45133,1.00559,0.9218
2.48612,1.0361,1.00567
2.58609,1.08271,1.08901
2.72757,1.13533,1.15457
2.73979,1.10772,1.03057
2.73922,1.10442,1.01831
2.75861,1.11521,1.04107
2.75932,1.11079,1.02324
2.71338,1.08518,0.969955
2.7614,1.12308,1.06917
2.7761,1.11928,1.0397
2.76705,1.11068,1.01534
2.81749,1.14044,1.08146
2.6756,1.04859,0.871234
2.65537,1.07411,0.98357
2.63257,1.06652,0.97676
2.71205,1.1159,1.09103
2.6678,1.07179,0.962777
2.61566,1.05384,0.945017
2.4984,1.00033,0.857802
2.48155,1.02168,0.953418
2.48502,1.02787,0.974149
2.46608,1.01626,0.948091
2.56352,1.07522,1.0825
2.76252,1.15925,1.21721
2.75274,1.1061,1.01163
2.86239,1.16805,1.14623
2.69926,1.05021,0.85606
2.60012,1.03688,0.896528
2.77334,1.15645,1.19344
2.65056,1.04621,0.884109
2.71082,1.11081,1.07198
2.91796,1.20727,1.24987
3.14694,1.27836,1.30504
3.34351,1.32665,1.30273
3.38861,1.30375,1.17031
3.51388,1.35873,1.26476
3.51909,1.33087,1.15645
3.34413,1.23719,0.970667
3.0834,1.13906,0.847232
2.92269,1.11832,0.903324
3.0069,1.20445,1.14608
3.25235,1.31296,1.33722
3.64591,1.45565,1.52874
3.88829,1.48428,1.41429
3.99491,1.48292,1.31359
3.85644,1.38719,1.08721
4.11444,1.55349,1.47145
4.22895,1.54529,1.35099
4.30344,1.55679,1.33343
4.27444,1.52414,1.24356
4.21742,1.50332,1.21503
4.57423,1.69537,1.61647
4.74219,1.6848,1.45576
4.55469,1.55357,1.15248
4.32041,1.4854,1.09238
3.87805,1.31406,0.855597
3.64877,1.30839,0.980477
3.51731,1.29721,1.04019
3.38619,1.26046,1.01711
3.44855,1.32582,1.19869
3.5859,1.38145,1.28629
3.54899,1.32875,1.12377
3.31582,1.21399,0.915929
3.11993,1.16721,0.910836
2.82273,1.0503,0.760031
2.82748,1.13199,1.03894
2.87414,1.15636,1.08779
2.93884,1.17981,1.11609
2.75841,1.06353,0.852278
2.94022,1.20779,1.22854
3.00576,1.1993,1.12748
3.26534,1.31998,1.35268
3.42083,1.33845,1.27509
3.57007,1.37932,1.29333
3.57101,1.34403,1.16042
3.65836,1.38974,1.25315
3.72874,1.40439,1.24734
3.7541,1.40048,1.21201
3.64761,1.33913,1.0819
3.27698,1.16532,0.793893
3.10989,1.17178,0.933227
2.9265,1.11339,0.883932
2.73712,1.05458,0.839558
2.59762,1.02536,0.857288
2.43025,0.965099,0.794098
2.34972,0.963929,0.863253
2.32273,0.969415,0.911371
2.37144,1.004,0.997938
2.51837,1.07328,1.12436
2.55471,1.05756,1.02012
2.72186,1.13971,1.17903
2.82503,1.15518,1.13334
2.89519,1.16818,1.11368
3.06249,1.24026,1.23403
3.19266,1.2687,1.21856
3.28009,1.28366,1.19293
3.36528,1.30741,1.2048
3.38002,1.29458,1.14326
3.59792,1.40393,1.36202
3.54483,1.32307,1.10683
3.57914,1.35531,1.19427
3.6454,1.38096,1.23194
3.57447,1.32774,1.09965
3.41326,1.26038,0.995707
3.22925,1.20206,0.942376
3.51067,1.39456,1.40881
3.67672,1.41119,1.32067
3.48832,1.27385,0.981773
3.27721,1.20876,0.928043
3.35292,1.30203,1.1952
3.56319,1.39225,1.34936
3.89366,1.50902,1.50181
4.08122,1.52343,1.39254
4.14891,1.51445,1.30336
3.97877,1.4119,1.08185
3.67361,1.29539,0.924136
3.73964,1.40716,1.24784
3.47823,1.2524,0.92056
3.26949,1.20715,0.928383
3.07796,1.15607,0.906571
2.76116,1.02539,0.72872
2.57192,1.00424,0.804403
2.74379,1.14708,1.18716
3.05724,1.27187,1.37432
3.14858,1.24593,1.17318
3.5388,1.42662,1.51428
3.72972,1.42977,1.34678
3.67985,1.36111,1.13217
3.39256,1.22148,0.885032
3.23416,1.21007,0.965153
3.02076,1.13337,0.876059
2.90721,1.12601,0.943573
2.9709,1.18902,1.12069
2.93526,1.1541,1.02095
2.94734,1.16955,1.068
3.12599,1.26141,1.25497
3.26181,1.28968,1.23439
3.22183,1.23613,1.06684
3.26508,1.26925,1.15124
3.30914,1.28181,1.1587
3.21905,1.22306,1.02234
3.4935,1.3882,1.39995
3.91218,1.53329,1.58392
4.30606,1.62834,1.60061
4.53595,1.64857,1.48318
4.99688,1.8213,1.74624
5.00409,1.70469,1.34519
4.89057,1.65646,1.26852
4.49871,1.48845,0.99916
4.12229,1.397,0.950921
3.81906,1.33565,0.952647
3.56087,1.27661,0.941642
3.33968,1.22398,0.931145
3.11277,1.15686,0.882369
2.81895,1.05021,0.762113
2.5069,0.946911,0.673003
2.19804,0.845982,0.597124
1.97664,0.802759,0.633267
1.89661,0.818615,0.766616
1.76563,0.754778,0.668396
1.72519,0.771884,0.768664
1.70958,0.772355,0.789032
1.67752,0.75612,0.760911
1.79865,0.839161,0.965123
1.73196,0.762342,0.729944
1.78044,0.814493,0.880191
1.96077,0.906195,1.06024
2.08747,0.933723,1.02527
2.0852,0.89983,0.886651
2.04817,0.878421,0.841808
1.97531,0.844351,0.78674
1.82526,0.768742,0.662054
1.74905,0.769426,0.733654
1.79028,0.81579,0.874022
1.81626,0.819331,0.859001
1.90767,0.866933,0.952012
1.91841,0.848797,0.864176
1.88626,0.826316,0.810097
1.92953,0.861724,0.90428
1.86361,0.808357,0.765988
1.79006,0.782351,0.742207
1.72796,0.764964,0.740562
1.59686,0.693549,0.617842
1.47834,0.66015,0.609148
1.3442,0.600103,0.537817
1.24925,0.587871,0.578448
1.33742,0.67737,0.837595
1.51824,0.760761,0.975318
1.61269,0.769479,0.890958
1.60413,0.73678,0.76675
1.63591,0.76103,0.826907
1.80959,0.85561,1.02506
1.95031,0.893086,1.01404
1.96923,0.867729,0.884307
